
=== language-ndebele/english ===
  m01-l01 ✓ 4,661 bytes
  m01-l02 ✓ 4,408 bytes
  m01-l03 ✓ 4,473 bytes
  m01-l04 ✓ 4,571 bytes
  m01-l05 ✓ 4,828 bytes
  m01-l06 ✓ 5,329 bytes
  m01-l07 ✓ 5,797 bytes
  m01-l08 ✓ 4,853 bytes
  m01-l09 ✓ 5,078 bytes
  m01-l10 ✓ 5,641 bytes
  m02-l01 ✓ 6,172 bytes
  m02-l02 ✓ 5,856 bytes
  m02-l03 ✓ 5,738 bytes
  m02-l04 ✓ 5,509 bytes
  m02-l05 ✓ 6,311 bytes
  m02-l06 ✓ 6,874 bytes
  m02-l07 ✓ 6,460 bytes
  m02-l08 ✓ 6,597 bytes
  m02-l09 ✓ 6,689 bytes
  m02-l10 ✓ 8,870 bytes
  m03-l01 ✓ 5,036 bytes
  m03-l02 ✓ 5,204 bytes
  m03-l03 ✓ 5,469 bytes
  m03-l04 ✓ 5,479 bytes
  m03-l05 ✓ 5,414 bytes
  m03-l06 ✓ 5,804 bytes
  m03-l07 ✓ 6,063 bytes
  m03-l08 ✓ 5,006 bytes
  m03-l09 ✓ 7,213 bytes
  m03-l10 ✓ 7,426 bytes
  m04-l01 ✓ 4,963 bytes
  m04-l02 ✓ 5,284 bytes
  m04-l03 ✓ 5,761 bytes
  m04-l04 ✓ 5,486 bytes
  m04-l05 ✓ 5,116 bytes
  m04-l06 ✓ 5,479 bytes
  m04-l07 ✓ 5,617 bytes
  m04-l08 ✓ 6,005 bytes
  m04-l09 ✓ 5,881 bytes
  m04-l10 ✓ 6,014 bytes
  m05-l01 ✓ 6,019 bytes
  m05-l02 ✓ 5,685 bytes
  m05-l03 ✓ 6,306 bytes
  m05-l04 ✓ 6,334 bytes
  m05-l05 ✓ 7,263 bytes
  m05-l06 ✓ 6,675 bytes
  m05-l07 ✓ 6,011 bytes
  m05-l08 ✓ 6,153 bytes
  m05-l09 ✓ 7,757 bytes
  m05-l10 ✓ 8,195 bytes
  m06-l01 ✓ 5,026 bytes
  m06-l02 ✓ 5,122 bytes
  m06-l03 ✓ 5,335 bytes
  m06-l04 ✓ 5,495 bytes
  m06-l05 ✓ 5,800 bytes
  m06-l06 ✓ 6,144 bytes
  m06-l07 ✓ 6,414 bytes
  m06-l08 ✓ 6,615 bytes
  m06-l09 ✓ 6,821 bytes
  m06-l10 ✓ 7,689 bytes
  m07-l01 ✓ 5,157 bytes
  m07-l02 ✓ 5,327 bytes
  m07-l03 ✓ 4,480 bytes
  m07-l04 ✓ 5,515 bytes
  m07-l05 ✓ 5,155 bytes
  m07-l06 ✓ 5,114 bytes
  m07-l07 ✓ 5,722 bytes
  m07-l08 ✓ 5,544 bytes
  m07-l09 ✓ 5,602 bytes
  m07-l10 ✓ 6,476 bytes
  m08-l01 ✓ 5,740 bytes
  m08-l02 ✓ 5,908 bytes
  m08-l03 ✓ 6,253 bytes
  m08-l04 ✓ 6,775 bytes
  m08-l05 ✓ 6,453 bytes
  m08-l06 ✓ 6,576 bytes
  m08-l07 ✓ 6,685 bytes
  m08-l08 ✓ 7,558 bytes
  m08-l09 ✓ 7,464 bytes
  m08-l10 ✓ 9,209 bytes
  m09-l01 ✓ 7,108 bytes
  m09-l02 ✓ 7,332 bytes
  m09-l03 ✓ 7,805 bytes
  m09-l04 ✓ 8,597 bytes
  m09-l05 ✓ 7,286 bytes
  m09-l06 ✓ 8,016 bytes
  m09-l07 ✓ 8,082 bytes
  m09-l08 ✓ 8,949 bytes
  m09-l09 ✓ 9,010 bytes
  m09-l10 ✓ 10,632 bytes
  m10-l01 ✓ 6,275 bytes
  m10-l02 ✓ 6,206 bytes
  m10-l03 ✓ 6,090 bytes
  m10-l04 ✓ 6,255 bytes
  m10-l05 ✓ 6,507 bytes
  m10-l06 ✓ 6,121 bytes
  m10-l07 ✓ 6,067 bytes
  m10-l08 ✓ 6,733 bytes
  m10-l09 ✓ 7,177 bytes
  m10-l10 ✓ 7,797 bytes
  m11-l01 ✓ 6,503 bytes
  m11-l02 ✓ 6,356 bytes
  m11-l03 ✓ 6,581 bytes
  m11-l04 ✓ 6,641 bytes
  m11-l05 ✓ 7,170 bytes
  m11-l06 ✓ 7,315 bytes
  m11-l07 ✓ 7,849 bytes
  m11-l08 ✓ 7,564 bytes
  m11-l09 ✓ 7,828 bytes
  m11-l10 ✓ 12,497 bytes
  Uploaded: 110, failed: 0, 702,356 bytes

=== language-english/ndebele ===
  m01-l01 ✓ 5,422 bytes
  m01-l02 ✓ 6,214 bytes
  m01-l03 ✓ 6,471 bytes
  m01-l04 ✓ 6,450 bytes
  m01-l05 ✓ 6,791 bytes
  m01-l06 ✓ 7,198 bytes
  m01-l07 ✓ 6,832 bytes
  m01-l08 ✓ 7,977 bytes
  m01-l09 ✓ 6,945 bytes
  m01-l10 ✓ 9,781 bytes
  m02-l01 ✓ 5,524 bytes
  m02-l02 ✓ 6,130 bytes
  m02-l03 ✓ 5,958 bytes
  m02-l04 ✓ 6,091 bytes
  m02-l05 ✓ 6,742 bytes
  m02-l06 ✓ 5,802 bytes
  m02-l07 ✓ 6,357 bytes
  m02-l08 ✓ 6,333 bytes
  m02-l09 ✓ 6,560 bytes
  m02-l10 ✓ 7,668 bytes
  m03-l01 ✓ 5,093 bytes
  m03-l02 ✓ 5,837 bytes
  m03-l03 ✓ 6,228 bytes
  m03-l04 ✓ 6,217 bytes
  m03-l05 ✓ 6,354 bytes
  m03-l06 ✓ 6,699 bytes
  m03-l07 ✓ 6,212 bytes
  m03-l08 ✓ 6,510 bytes
  m03-l09 ✓ 6,165 bytes
  m03-l10 ✓ 8,315 bytes
  m04-l01 ✓ 5,511 bytes
  m04-l02 ✓ 6,235 bytes
  m04-l03 ✓ 6,155 bytes
  m04-l04 ✓ 6,489 bytes
  m04-l05 ✓ 6,401 bytes
  m04-l06 ✓ 6,957 bytes
  m04-l07 ✓ 7,008 bytes
  m04-l08 ✓ 6,926 bytes
  m04-l09 ✓ 8,128 bytes
  m04-l10 ✓ 9,381 bytes
  m05-l01 ✓ 6,658 bytes
  m05-l02 ✓ 7,023 bytes
  m05-l03 ✓ 7,672 bytes
  m05-l04 ✓ 7,966 bytes
  m05-l05 ✓ 8,550 bytes
  m05-l06 ✓ 8,235 bytes
  m05-l07 ✓ 8,026 bytes
  m05-l08 ✓ 8,370 bytes
  m06-l01 ✓ 6,582 bytes
  m06-l02 ✓ 6,729 bytes
  m06-l03 ✓ 7,562 bytes
  m06-l04 ✓ 7,731 bytes
  m06-l05 ✓ 7,927 bytes
  m06-l06 ✓ 8,882 bytes
  m06-l07 ✓ 8,259 bytes
  m06-l08 ✓ 9,263 bytes
  m07-l01 ✓ 6,216 bytes
  m07-l02 ✓ 6,592 bytes
  m07-l03 ✓ 6,908 bytes
  m07-l04 ✓ 7,101 bytes
  m07-l05 ✓ 7,827 bytes
  m07-l06 ✓ 6,650 bytes
  m07-l07 ✓ 6,603 bytes
  m07-l08 ✓ 7,045 bytes
  m07-l09 ✓ 7,386 bytes
  m08-l01 ✓ 5,993 bytes
  m08-l02 ✓ 6,039 bytes
  m08-l03 ✓ 6,109 bytes
  m08-l04 ✓ 6,459 bytes
  m08-l05 ✓ 7,782 bytes
  m08-l06 ✓ 6,813 bytes
  m08-l07 ✓ 7,845 bytes
  m08-l08 ✓ 7,881 bytes
  m08-l09 ✓ 7,232 bytes
  m08-l10 ✓ 8,577 bytes
  m09-l01 ✓ 6,336 bytes
  m09-l02 ✓ 7,028 bytes
  m09-l03 ✓ 7,755 bytes
  m09-l04 ✓ 6,699 bytes
  m09-l05 ✓ 7,160 bytes
  m09-l06 ✓ 7,279 bytes
  m09-l07 ✓ 7,983 bytes
  m09-l08 ✓ 7,172 bytes
  m09-l09 ✓ 7,652 bytes
  m10-l01 ✓ 6,903 bytes
  m10-l02 ✓ 6,467 bytes
  m10-l03 ✓ 6,635 bytes
  m10-l04 ✓ 7,067 bytes
  m10-l05 ✓ 7,083 bytes
  m10-l06 ✓ 7,135 bytes
  m10-l07 ✓ 7,067 bytes
  m10-l08 ✓ 7,372 bytes
  m10-l09 ✓ 7,441 bytes
  Uploaded: 93, failed: 0, 652,794 bytes

DONE. 203 lessons uploaded, 0 failed, 1323 KB total.
