Generating phrasebook audio for ZW-ND
Voice: George (multilingual) (JBFqnCBsd6RMkjVDRZzb), model: eleven_multilingual_v2

48 phrases across 8 categories.

  b01    "Salibonani                    " ✓ (18016 bytes)
  b02    "Sawubona                      " ✓ (18852 bytes)
  b03    "Yebo                          " ✓ (13836 bytes)
  b04    "Hatshi                        " ✓ (14254 bytes)
  b05    "Ngiyabonga                    " ✓ (18852 bytes)
  b06    "Uxolo                         " ✓ (15090 bytes)
  b07    "Sala kuhle                    " ✓ (16762 bytes)
  b08    "Uphilile?                     " ✓ (16762 bytes)
  t01    "Ngingayithola ngaphi itekisi? " ✓ (30137 bytes)
  t02    "KoBulawayo                    " ✓ (18852 bytes)
  t03    "Kuyimalini?                   " ✓ (18852 bytes)
  t04    "Kwedlulisile                  " ✓ (20942 bytes)
  t05    "Ngicela usinga lwami          " ✓ (27211 bytes)
  t06    "Mana lapha                    " ✓ (16762 bytes)
  f01    "Ngifuna ukudla                " ✓ (21777 bytes)
  f02    "Amanzi ngicela                " ✓ (24285 bytes)
  f03    "Isitshwala lani?              " ✓ (22613 bytes)
  f04    "Kubabe kancane nje            " ✓ (24285 bytes)
  f05    "Ngisuthi                      " ✓ (16762 bytes)
  f06    "Ibhili ngicela                " ✓ (20942 bytes)
  e01    "Ngisizeni!                    " ✓ (16762 bytes)
  e02    "Ngidinga udokotela            " ✓ (23449 bytes)
  e03    "Ngiyagula                     " ✓ (16762 bytes)
  e04    "Amapholisa                    " ✓ (18016 bytes)
  e05    "Ngiphangiwe                   " ✓ (18852 bytes)
  e06    "Ngidinga i-ambulensi          " ✓ (24285 bytes)
  d01    "Ngaphi?                       " ✓ (15090 bytes)
  d02    "Kungaphi?                     " ✓ (15090 bytes)
  d03    "Kuseduze yini?                " ✓ (20942 bytes)
  d04    "Ngilahlekile                  " ✓ (19688 bytes)
  d05    "Ngingafika njani lapho?       " ✓ (26375 bytes)
  d06    "Kwesokunxele / kwesokudla     " ✓ (35988 bytes)
  h01    "Ngile-reservation             " ✓ (21777 bytes)
  h02    "Ikhona iWi-Fi?                " ✓ (25539 bytes)
  h03    "Ngifuna ukubona ikamelo       " ✓ (30973 bytes)
  h04    "Ngizaphuma kusasa             " ✓ (23449 bytes)
  h05    "Awekho amanzi atshisayo       " ✓ (30973 bytes)
  m01    "Ngicela                       " ✓ (15926 bytes)
  m02    "Uxolo baba / mama             " ✓ (30137 bytes)
  m03    "Ngijabule ukukwazi            " ✓ (26375 bytes)
  m04    "Ngiyakuhlonipha               " ✓ (23449 bytes)
  m05    "Wamukelekile                  " ✓ (20942 bytes)
  m06    "Hamba kuhle                   " ✓ (18016 bytes)
  n01    "Ngaphansi kwamadola amahlanu  " ✓ (34316 bytes)
  n02    "Ngilamadola alitshumi         " ✓ (24703 bytes)
  n03    "Ngingakhokha ngani?           " ✓ (23449 bytes)
  n04    "Liyayemukela i-USD?           " ✓ (30973 bytes)
  n05    "Eceleni kwemali yenu          " ✓ (27211 bytes)

Done. 48 generated, 0 cached, 0 failed.
Chars billed this run: 687. Approx cost: $0.124 USD.
Manifest: phrasebook/ZW-ND/manifest.json
